English,Spanish
the,el
I,I
to,a
and,y
a,a
of,de
was,era
he,él
you,tú
it,él
in,en
her,su
she,ella
that,eso
my,mi
his,su
me,a mí
on,en
with,con
at,en
as,como
had,tenía
for,para
but,pero
him,a él
said,dicho
be,ser
up,arriba
out,afuera
look,mirar
so,entonces
have,tener
what,qué
not,no
just,justo
like,como
go,ir
they,ellos
is,es
this,este
from,de
all,todo
we,nosotros
were,eran
back,atrás
do,hacer
one,uno
about,acerca de
know,saber
if,si
when,cuando
get,conseguir
then,entonces
into,en
would,haría
no,No
there,allá
I'm,Soy
could,podría
don't,no
ask,preguntar
down,abajo
time,tiempo
didn't,no
want,desear
eye,ojo
them,a ellos
over,encima
your,su
are,son
or,o
been,estado
now,ahora
an,un
by,por
think,pensar
see,ver
hand,mano
it's,es
say,decir
how,cómo
around,alrededor
head,cabeza
did,hizo
well,Bueno
before,antes
off,apagado
who,OMS
more,más
even,incluso
turn,doblar
come,venir
smile,sonrisa
way,forma
really,en realidad
can,poder
face,rostro
other,otro
some,alguno
right,bien
their,su
only,solo
walk,caminar
make,hacer
got,consiguió
try,intentar
something,algo
room,habitación
again,de nuevo
thing,cosa
after,después
still,aún
thought,pensamiento
door,puerta
here,aquí
too,también
little,pequeño
because,porque
why,por qué
away,lejos
let,dejar
take,llevar
two,dos
start,comenzar
good,bien
where,dónde
never,nunca
through,a través de
day,día
much,mucho
tell,decir
wasn't,no
girl,chica
feel,sentir
oh,Vaya
you're,estás
call,llamar
talk,hablar
will,voluntad
long,largo
than,que
us,a nosotros
made,hecho
friend,amigo
knew,sabía
open,abierto
need,necesidad
first,primero
which,cual
people,gente
that's,eso es
went,fue
sure,seguro
seem,parecer
stop,detener
voice,voz
very,muy
felt,sintió
took,tomó
our,nuestro
pull,jalar
laugh,reír
man,hombre
okay,bueno
close,cerca
any,cualquier
came,vino
told,dijo
love,amar
watch,mirar
arm,brazo
anything,cualquier cosa
I'll,Enfermo
though,aunque
put,poner
left,izquierda
work,trabajar
guy,chico
hair,cabello
next,próximo
couldn't,no pude
yeah,sí
while,mientras
mean,significar
home,hogar
few,pocos
saw,sierra
place,lugar
school,escuela
help,ayuda
wait,esperar
late,tarde
year,año
can't,no poder
house,casa
happen,suceder
last,último
always,siempre
move,mover
old,viejo
night,noche
nod,asentir
life,vida
give,dar
sit,sentarse
stare,mirar fijamente
sat,se sentó
should,debería
moment,momento
another,otro
behind,detrás
side,lado
sound,sonido
once,una vez
find,encontrar
toward,hacia
boy,chico
ever,alguna vez
nothing,nada
front,frente
mother,madre
name,nombre
am,soy
since,desde
reply,responder
he's,él es
myself,mí mismo
leave,dejar
bed,cama
new,nuevo
car,auto
use,usar
mind,mente
maybe,tal vez
has,tiene
heard,escuchó
answer,respuesta
minute,minuto
yes,Sí
until,hasta
both,ambos
found,encontró
end,fin
small,pequeño
I'd,Identificación
word,palabra
someone,alguien
same,mismo
enough,suficiente
began,comenzó
run,correr
bit,poco
sigh,suspiro
each,cada
those,aquellos
almost,casi
against,contra
everything,todo
most,mayoría
thank,agradecer
wouldn't,no
mom,mamá
better,mejor
play,jugar
I've,He
own,propio
every,cada
hard,duro
remember,recordar
three,tres
stood,permaneció
live,vivir
stand,pararse
second,segundo
sorry,Lo siento
keep,mantener
finally,finalmente
point,punto
gave,dio
already,ya
actually,de hecho
probably,probablemente
himself,él mismo
big,grande
everyone,todos
guess,adivinar
lot,lote
step,paso
hey,ey
hear,escuchar
light,luz
quickly,rápidamente
dad,papá
kiss,beso
black,negro
pick,elegir
else,demás
soon,pronto
shoulder,hombro
table,mesa
best,mejor
without,sin
notice,aviso
stay,permanecer
care,cuidado
phone,teléfono
reach,alcanzar
realize,darse cuenta
follow,seguir
decide,decidir
kind,amable
she's,Ella es
grab,agarrar
he'd,El
show,espectáculo
inside,adentro
suddenly,de repente
father,padre
rest,descansar
herself,sí misma
grin,sonrisa
hour,hora
hope,esperanza
also,también
body,cuerpo
might,podría
hadn't,no
floor,piso
its,es
continue,continuar
ran,corrió
across,al otro lado de
hold,sostener
cry,llorar
half,medio
pretty,bonito
great,excelente
course,curso
mouth,boca
class,clase
kid,niño
miss,extrañar
wonder,preguntarse
morning,mañana
least,el menos
nice,lindo
dark,oscuro
slowly,despacio
done,hecho
change,cambiar
doesn't,no
together,juntos
yet,todavía
question,pregunta
anyway,de todos modos
bad,malo
blue,azul
believe,creer
week,semana
God,Dios
lip,labio
Mr.,Señor.
sleep,dormir
fine,bien
what's,qué
family,familia
many,muchos
worry,preocuparse
roll,rollo
parent,padre
under,bajo
surprise,sorpresa
water,agua
onto,sobre
we're,eran
glance,mirada
wall,muro
between,entre
seen,visto
read,leer
window,ventana
idea,idea
white,blanco
push,empujar
feet,pies
must,debe
such,semejante
seat,asiento
set,colocar
please,por favor
red,rojo
brother,hermano
these,estos
whole,entero
lean,inclinarse
part,parte
person,persona
slightly,levemente
pass,aprobar
shook,sacudirse
fact,hecho
wrong,equivocado
gone,desaparecido
far,lejos
hit,golpear
finger,dedo
quite,bastante
hate,odiar
meet,encontrarse
finish,finalizar
heart,corazón
book,libro
past,pasado
kill,matar
reason,razón
anyone,alguien
figure,cifra
top,arriba
along,a lo largo de
world,mundo
she'd,cobertizo
high,alto
shirt,camisa
does,hace
today,hoy
young,joven
held,sostuvo
outside,afuera
listen,escuchar
whisper,susurro
won't,no
happy,feliz
ground,suelo
deep,profundo
drop,gota
shrug,encogimiento de hombros
dress,vestido
fell,cayó
there's,hay
yell,gritar
breath,aliento
air,aire
tear,lágrima
sister,hermana
chair,silla
kitchen,cocina
matter,asunto
hurt,herir
fall,caer
wear,tener puesto
isn't,no es
woman,mujer
eat,comer
lie,mentir
hell,infierno
suppose,suponer
cover,cubrir
couple,pareja
large,grande
either,cualquiera
five,cinco
leg,pierna
jump,saltar
die,morir
return,devolver
able,capaz
bag,bolsa
alone,solo
shut,cerrar
stuff,cosa
short,corto
ready,listo
understand,entender
kept,conservó
plan,plan
raise,aumentar
street,calle
different,diferente
problem,problema
break,romper
line,línea
early,temprano
cut,cortar
cold,frío
paper,papel
scream,gritar
instead,en cambio
stupid,estúpido
silence,silencio
tree,árbol
caught,atrapó
ear,oreja
food,alimento
full,lleno
four,cuatro
cause,causa
fuck,Mierda
explain,explicar
expect,esperar
fight,luchar
exactly,exactamente
sort,clasificar
completely,completamente
men,hombres
dance,bailar
met,reunió
story,historia
whatever,lo que
build,construir
speak,hablar
glass,vaso
pain,dolor
check,controlar
glare,destello
corner,esquina
Mrs.,Señora.
chest,pecho
hot,caliente
rather,bastante
month,mes
real,real
touch,tocar
park,parque
bring,traer
they're,ellos son
drink,beber
ago,atrás
force,fuerza
you've,tienes
fast,rápido
lost,perdido
attention,atención
wish,desear
mark,marca
wave,ola
shout,gritar
fill,llenar
begin,comenzar
baby,bebé
interest,interés
money,dinero
fun,divertido
green,verde
however,sin embargo
cheek,mejilla
mine,mío
clear,claro
brown,marrón
forward,adelante
near,cerca
picture,imagen
may,puede
cool,Frío
drive,conducir
hug,abrazo
shake,agitar
sense,sentido
alright,está bien
you'll,tu
dream,sueño
hang,colgar
clothes,ropa
act,acto
